用户（身份证）,信用评级,平台类型
440000198902064256,78,CreditCard
500000197710110491,4,CreditCard
520000195904177314,97,CreditCard
420000200410221717,83,CreditCard
650000199906238931,30,CreditCard
220000195302235352,51,CreditCard
430000196806284397,77,CreditCard
610000195904212054,67,CreditCard
500000198201255785,28,CreditCard
310000198802132259,25,CreditCard
340000199011280087,0,CreditCard
610000199405313289,89,CreditCard
35000019540718284X,2,CreditCard
330000197006070471,73,CreditCard
610000195205262458,81,CreditCard
110000196402245135,14,CreditCard
450000195106046880,42,CreditCard
110000199110312563,92,CreditCard
440000196701125957,88,CreditCard
360000195706158884,78,CreditCard
530000200304281914,35,CreditCard
610000196410316210,82,CreditCard
370000196004154332,48,CreditCard
370000198702062434,79,CreditCard
34000019611207000X,100,CreditCard
320000197803034965,15,CreditCard
540000198301184862,53,CreditCard
140000195302120141,80,CreditCard
500000199909306255,13,CreditCard
360000199811165769,88,CreditCard
630000196207273212,71,CreditCard
610000198510043722,89,CreditCard
510000198312291684,21,CreditCard
640000197901293084,96,CreditCard
640000196406126137,54,CreditCard
130000196107034902,15,CreditCard
370000199408222673,63,CreditCard
340000195510133032,89,CreditCard
46000019510811376X,98,CreditCard
320000200011237718,5,CreditCard
330000195812050863,70,CreditCard
510000197709035561,14,CreditCard
520000196505047170,64,CreditCard
500000198607025680,51,CreditCard
220000196703017895,50,CreditCard
420000196304096976,9,CreditCard
340000198808014240,18,CreditCard
530000197002088583,2,CreditCard
370000200309096574,91,CreditCard
540000199207245395,56,CreditCard
620000200608098950,78,CreditCard
650000199607060117,55,CreditCard
52000019781101198X,15,CreditCard
120000197910316944,3,CreditCard
110000196404054009,24,CreditCard
370000200502279823,16,CreditCard
140000200102102647,26,CreditCard
630000200212051066,75,CreditCard
320000197111299348,81,CreditCard
330000197511249018,9,CreditCard
220000197310015279,69,CreditCard
320000197706282887,78,CreditCard
140000198109198477,82,CreditCard
430000196002268519,61,CreditCard
450000196412163852,53,CreditCard
420000196511128942,13,CreditCard
110000199409245879,9,CreditCard
520000196504264405,76,CreditCard
530000198402153748,14,CreditCard
430000200203086462,16,CreditCard
540000196408317136,22,CreditCard
530000198207117709,1,CreditCard
610000196303133742,34,CreditCard
440000195009055169,8,CreditCard
350000198511039254,13,CreditCard
450000200103156025,29,CreditCard
420000199208217655,92,CreditCard
320000197802212440,64,CreditCard
210000200304281186,68,CreditCard
360000196101167029,86,CreditCard
500000195910126130,69,CreditCard
410000199008306520,61,CreditCard
46000020050527152X,90,CreditCard
530000198009050478,30,CreditCard
540000196305312826,81,CreditCard
14000020030609583X,13,CreditCard
630000196403101565,94,CreditCard
130000196301062368,69,CreditCard
450000196105087060,37,CreditCard
360000199108130089,82,CreditCard
420000195602087563,73,CreditCard
320000197505255276,36,CreditCard
370000200503314491,70,CreditCard
650000196110135204,70,CreditCard
120000199401016045,98,CreditCard
650000196108120716,17,CreditCard
330000195308280192,80,CreditCard
610000198404152888,77,CreditCard
500000196605226922,62,CreditCard
530000200501130365,5,CreditCard
440000200408286363,56,CreditCard
340000197212265765,46,CreditCard
150000198905090223,57,CreditCard
420000197512142169,78,CreditCard
21000019540215606X,92,CreditCard
650000196502080441,89,CreditCard
450000195001083036,36,CreditCard
460000200503155285,3,CreditCard
210000195312217463,65,CreditCard
370000197706298634,90,CreditCard
36000019820412280X,89,CreditCard
640000197906112705,56,CreditCard
230000195405175382,37,CreditCard
32000019990215139X,73,CreditCard
23000019940422219X,32,CreditCard
33000020000718773X,38,CreditCard
210000198301276162,17,CreditCard
370000197004234361,88,CreditCard
220000197502142889,15,CreditCard
650000197304107994,97,CreditCard
330000199211293147,31,CreditCard
520000198704091106,45,CreditCard
220000197205096003,83,CreditCard
120000195711147771,15,CreditCard
460000198709184049,91,CreditCard
340000199004076256,81,CreditCard
510000200501024569,98,CreditCard
120000196503272986,57,CreditCard
22000019921027124X,36,CreditCard
320000199308199622,28,CreditCard
320000195701271338,97,CreditCard
530000199305212800,3,CreditCard
350000200512044581,45,CreditCard
310000195611092924,49,CreditCard
450000195407059343,71,CreditCard
140000199012157956,98,CreditCard
450000198305268295,22,CreditCard
640000195806288501,29,CreditCard
510000197608282395,86,CreditCard
220000197401024015,37,CreditCard
500000200005281505,93,CreditCard
330000200307106858,47,CreditCard
620000198404010267,0,CreditCard
440000196112243234,57,CreditCard
420000196309237256,44,CreditCard
44000019551211973X,42,CreditCard
44000019850829116X,73,CreditCard
150000196709192960,10,CreditCard
320000198701095307,72,CreditCard
220000199701244991,23,CreditCard
350000200508249154,3,CreditCard
430000197008033627,87,CreditCard
230000198905241693,25,CreditCard
450000198506249146,94,CreditCard
340000196703268069,76,CreditCard
320000197308053114,29,CreditCard
14000019940430058X,35,CreditCard
520000197901025867,60,CreditCard
23000019760824085X,6,CreditCard
640000195908274469,17,CreditCard
510000196310126985,89,CreditCard
330000198710038576,7,CreditCard
41000019790903771X,30,CreditCard
130000198310072794,49,CreditCard
330000200103236204,13,CreditCard
650000197007093493,92,CreditCard
43000019710901277X,20,CreditCard
650000195808295547,17,CreditCard
370000197602129326,60,CreditCard
620000200405020053,2,CreditCard
340000198410208838,10,CreditCard
140000196911135343,89,CreditCard
43000019820224027X,90,CreditCard
440000196710130440,66,CreditCard
340000195307062371,28,CreditCard
620000196408066197,93,CreditCard
44000019801213737X,6,CreditCard
320000200511062512,76,CreditCard
44000019761014281X,45,CreditCard
330000197205254740,22,CreditCard
620000196507092542,0,CreditCard
120000195502235310,78,CreditCard
320000199008242406,0,CreditCard
120000195607177698,10,CreditCard
23000019970610552X,9,CreditCard
610000197209011452,38,CreditCard
340000195807236809,31,CreditCard
430000198908263895,41,CreditCard
31000019531128561X,79,CreditCard
42000019840118423X,69,CreditCard
520000198508050147,51,CreditCard
120000198301258763,81,CreditCard
520000196205065289,83,CreditCard
140000197405254475,49,CreditCard
220000199209073633,89,CreditCard
37000019801102659X,77,CreditCard
370000196012157525,60,CreditCard
120000195305025883,24,CreditCard
650000198312017379,77,CreditCard
350000195310241751,74,CreditCard
310000195301226907,59,CreditCard
320000196702258439,10,CreditCard
61000019971007777X,24,CreditCard
460000200210307505,90,CreditCard
150000197001157400,61,CreditCard
350000197408096301,21,CreditCard
310000198301254303,6,CreditCard
120000195509221210,33,CreditCard
620000196101283277,59,CreditCard
420000195906200270,56,CreditCard
530000198103246063,0,CreditCard
500000195904050854,38,CreditCard
440000195905121398,9,CreditCard
610000200106090623,49,CreditCard
310000199510078339,69,CreditCard
320000195312036852,63,CreditCard
650000200510161507,12,CreditCard
42000019520630284X,39,CreditCard
440000198012088272,56,CreditCard
110000198001086099,66,CreditCard
220000195204171121,26,CreditCard
510000199812252416,42,CreditCard
460000200207042673,97,CreditCard
430000195210210712,48,CreditCard
360000200005038293,53,CreditCard
360000195110161046,61,CreditCard
210000198002031720,34,CreditCard
330000196002198887,19,CreditCard
460000197402274192,18,CreditCard
540000197609185701,64,CreditCard
23000019850313289X,74,CreditCard
420000199910315036,47,CreditCard
620000196104045223,34,CreditCard
430000198608065221,61,CreditCard
650000199705167102,60,CreditCard
41000019571006587X,30,CreditCard
520000199902027345,10,CreditCard
110000199708010498,55,CreditCard
630000200203025392,1,CreditCard
220000195703086562,80,CreditCard
510000198907204578,87,CreditCard
23000019811227249X,12,CreditCard
500000199601314830,68,CreditCard
430000200101117782,84,CreditCard
620000196111272053,72,CreditCard
520000195212297075,64,CreditCard
350000199410084421,12,CreditCard
11000019780412842X,89,CreditCard
440000197907067523,61,CreditCard
210000197904262582,65,CreditCard
500000198605112027,22,CreditCard
120000199008168296,92,CreditCard
41000019610523246X,44,CreditCard
540000198406227064,89,CreditCard
360000200402282396,46,CreditCard
210000198607122326,39,CreditCard
15000019910406402X,80,CreditCard
440000196409126274,43,CreditCard
120000199909100379,36,CreditCard
140000195503291422,28,CreditCard
500000199003113107,91,CreditCard
140000199009089059,94,CreditCard
130000200203035293,22,CreditCard
210000198405265230,77,CreditCard
520000197906065948,7,CreditCard
110000195008232761,20,CreditCard
460000198103045386,77,CreditCard
530000200312240303,59,CreditCard
130000197403208596,19,CreditCard
650000198102092258,19,CreditCard
360000199403140378,63,CreditCard
21000019660830590X,80,CreditCard
430000195211067858,19,CreditCard
520000196311257479,75,CreditCard
140000198611261953,51,CreditCard
230000198704024967,19,CreditCard
320000199208114134,59,CreditCard
630000195810182038,87,CreditCard
510000200310120187,54,CreditCard
230000198710093547,7,CreditCard
530000197502027875,81,CreditCard
110000197204236208,4,CreditCard
650000197609259788,57,CreditCard
540000199307153199,1,CreditCard
540000196610234246,28,CreditCard
510000200506118329,13,CreditCard
520000195712110545,3,CreditCard
620000197201314346,48,CreditCard
120000199606246557,6,CreditCard
340000199812060826,81,CreditCard
320000197409026756,74,CreditCard
65000019961219462X,44,CreditCard
610000197105165641,51,CreditCard
220000196509196447,82,CreditCard
210000198409217447,58,CreditCard
430000200205267742,61,CreditCard
640000199304081875,55,CreditCard
310000195312191439,19,CreditCard
120000199601307576,23,CreditCard
41000019850726026X,42,CreditCard
120000195303308572,24,CreditCard
45000019830809944X,27,CreditCard
420000195711037450,41,CreditCard
410000195003050169,99,CreditCard
320000195105093352,34,CreditCard
610000196210286619,77,CreditCard
630000198201037429,24,CreditCard
430000200602226725,50,CreditCard
320000199207150264,64,CreditCard
530000200611158369,97,CreditCard
650000199204059322,43,CreditCard
420000198309105412,72,CreditCard
500000198104027131,75,CreditCard
630000195902081576,41,CreditCard
130000195602130681,8,CreditCard
640000199705174896,67,CreditCard
510000199310047607,78,CreditCard
620000198005077456,81,CreditCard
520000200611196638,1,CreditCard
460000196002059536,72,CreditCard
220000199110027354,13,CreditCard
650000199105179089,51,CreditCard
500000200210152868,18,CreditCard
32000019920507160X,64,CreditCard
340000197511186936,21,CreditCard
42000019590626547X,70,CreditCard
22000019680521753X,76,CreditCard
350000196310160411,25,CreditCard
220000198709209782,2,CreditCard
650000199904232659,94,CreditCard
370000199201194986,25,CreditCard
370000199111278414,26,CreditCard
41000019760830444X,63,CreditCard
430000198803264656,18,CreditCard
430000200507283078,7,CreditCard
540000198412234412,99,CreditCard
450000199910254494,72,CreditCard
440000199207198812,97,CreditCard
130000198010261788,71,CreditCard
330000199801268697,49,CreditCard
140000199408159800,74,CreditCard
640000197206199678,39,CreditCard
620000199204119393,65,CreditCard
360000197706046953,58,CreditCard
500000197608037996,27,CreditCard
430000198401190201,32,CreditCard
440000199402021262,85,CreditCard
310000198602182198,9,CreditCard
610000198801042957,42,CreditCard
540000196202127003,88,CreditCard
65000019620508290X,52,CreditCard
640000196008145404,99,CreditCard
630000197203285851,89,CreditCard
450000198705160419,10,CreditCard
430000195601252039,25,CreditCard
210000200609243551,17,CreditCard
150000200205265985,41,CreditCard
500000199906014791,58,CreditCard
630000198003055933,46,CreditCard
630000195106112984,98,CreditCard
650000198311189312,43,CreditCard
320000195809047864,46,CreditCard
340000195412142621,87,CreditCard
540000200305071646,41,CreditCard
370000200002016592,41,CreditCard
210000199511215688,2,CreditCard
120000195906228133,38,CreditCard
110000196310168451,97,CreditCard
310000200004180192,3,CreditCard
130000196903034778,45,CreditCard
510000196306129163,47,CreditCard
440000195811022954,30,CreditCard
640000198511281752,60,CreditCard
320000198807160146,62,CreditCard
340000195109137029,40,CreditCard
620000198508103249,45,CreditCard
310000198603149584,19,CreditCard
42000019541203302X,35,CreditCard
230000200601058275,68,CreditCard
520000195106216331,89,CreditCard
620000200311101960,31,CreditCard
220000196707054474,13,CreditCard
430000199401308972,32,CreditCard
32000019940923874X,0,CreditCard
330000197111253253,41,CreditCard
310000198201175325,72,CreditCard
120000197202170809,98,CreditCard
410000196111109644,78,CreditCard
45000020000627138X,21,CreditCard
21000019920616735X,74,CreditCard
350000197506227424,32,CreditCard
150000198007249941,38,CreditCard
320000196704051239,54,CreditCard
450000196103171496,25,CreditCard
110000199704249637,14,CreditCard
320000195503086393,11,CreditCard
34000019730513481X,64,CreditCard
210000198110088492,77,CreditCard
410000196007291124,100,CreditCard
220000199104101853,91,CreditCard
310000197503146701,85,CreditCard
150000195610213712,76,CreditCard
130000195009113629,16,CreditCard
140000196203043384,64,CreditCard
420000198306118605,28,CreditCard
620000199410194204,96,CreditCard
540000196609085351,0,CreditCard
310000198402059566,53,CreditCard
350000196906151516,76,CreditCard
120000196508085936,58,CreditCard
54000019560426150X,90,CreditCard
210000198809195259,36,CreditCard
370000198504174582,87,CreditCard
530000195510019809,25,CreditCard
230000200408180607,93,CreditCard
130000198807266797,19,CreditCard
210000195806216858,42,CreditCard
430000199310159334,94,CreditCard
610000198106298408,3,CreditCard
520000197603120639,79,CreditCard
630000198808281532,26,CreditCard
140000196809064243,77,CreditCard
630000196904120908,69,CreditCard
530000197701272056,100,CreditCard
420000195603128021,93,CreditCard
310000200605109551,4,CreditCard
220000198905031176,11,CreditCard
210000200408095257,53,CreditCard
23000019690919029X,79,CreditCard
210000200011023263,36,CreditCard
13000019870725131X,11,CreditCard
530000198207174586,59,CreditCard
53000019720605617X,9,CreditCard
370000196311244645,37,CreditCard
140000196910263925,38,CreditCard
450000199407178594,79,CreditCard
320000195110286749,54,CreditCard
530000197107241505,50,CreditCard
430000199811304958,50,CreditCard
540000198203278822,50,CreditCard
520000198907096601,32,CreditCard
150000198808069756,95,CreditCard
650000199609301893,39,CreditCard
52000019541013914X,99,CreditCard
620000195008147137,45,CreditCard
630000199601178268,4,CreditCard
140000197006037369,4,CreditCard
420000200212179714,58,CreditCard
320000199412313122,50,CreditCard
450000200307134354,82,CreditCard
110000200111222768,51,CreditCard
140000200304161370,30,CreditCard
120000196605153304,26,CreditCard
370000196501082608,60,CreditCard
450000195608076625,69,CreditCard
460000198004231693,50,CreditCard
420000198608170249,96,CreditCard
140000200107046189,38,CreditCard
620000199404042079,34,CreditCard
370000199410145830,34,CreditCard
310000199503311665,26,CreditCard
220000200107147473,44,CreditCard
230000197304215014,17,CreditCard
350000198902213440,18,CreditCard
540000198906097112,11,CreditCard
620000199501282058,85,CreditCard
310000196411279705,58,CreditCard
640000200509115974,68,CreditCard
350000196507052887,3,CreditCard
640000197402049159,23,CreditCard
51000019650204831X,54,CreditCard
630000195603010540,69,CreditCard
330000200612148448,84,CreditCard
620000199901127399,57,CreditCard
530000198712298723,14,CreditCard
520000197204097697,59,CreditCard
310000196403035786,26,CreditCard
620000196301106603,79,CreditCard
630000200612227788,62,CreditCard
44000019941117608X,64,CreditCard
500000197211291750,95,CreditCard
51000019600127751X,45,CreditCard
640000196810188655,80,CreditCard
650000199006041033,52,CreditCard
520000197010210671,26,CreditCard
37000019841112202X,65,CreditCard
500000195509284124,8,CreditCard
22000019630410430X,13,CreditCard
450000197301299962,68,CreditCard
640000199701269206,69,CreditCard
500000195208081673,100,CreditCard
310000195612231746,28,CreditCard
34000019850324191X,61,CreditCard
500000198711223150,11,CreditCard
310000199512025345,33,CreditCard
430000195612256772,5,CreditCard
330000197401244224,14,CreditCard
460000199901245117,89,CreditCard
230000198205082214,56,CreditCard
210000196709221860,46,CreditCard
440000199708086739,84,CreditCard
230000200307194110,40,CreditCard
630000200005199164,17,CreditCard
520000197203015012,20,CreditCard
120000196212319588,97,CreditCard
510000196408114464,96,CreditCard
330000197411142571,9,CreditCard
150000198609028425,20,CreditCard
520000197107196669,72,CreditCard
450000199106033092,30,CreditCard
640000200310195401,41,CreditCard
430000198609209047,8,CreditCard
52000019510110914X,28,CreditCard
120000199102123457,74,CreditCard
350000195310126892,5,CreditCard
370000199602064445,90,CreditCard
650000197201133583,87,CreditCard
360000200310167382,16,CreditCard
350000196906211742,31,CreditCard
410000197102289422,36,CreditCard
610000200212017809,6,CreditCard
500000199301043872,52,CreditCard
530000196801317368,39,CreditCard
130000197502079910,17,CreditCard
36000019650620342X,15,CreditCard
340000198302023991,0,CreditCard
630000195509214483,44,CreditCard
350000197312299104,20,CreditCard
620000197506088968,88,CreditCard
350000197505166762,87,CreditCard
320000198012270480,43,CreditCard
450000197405119487,71,CreditCard
420000199108094491,94,CreditCard
530000197512237542,20,CreditCard
420000195903209237,43,CreditCard
440000196203035625,86,CreditCard
34000019581228109X,61,CreditCard
640000196206308868,67,CreditCard
440000197701169954,20,CreditCard
430000198608069265,93,CreditCard
370000200607090453,42,CreditCard
450000198603168196,41,CreditCard
330000198704132590,38,CreditCard
640000195312155944,49,CreditCard
440000196612201698,63,CreditCard
650000200605030227,20,CreditCard
350000200609078892,65,CreditCard
440000198302035013,10,CreditCard
640000198312179229,22,CreditCard
410000197108079178,77,CreditCard
42000020000416469X,14,CreditCard
540000197807125363,30,CreditCard
450000196410296854,61,CreditCard
310000196106137225,69,CreditCard
220000198612040343,34,CreditCard
630000196803287813,38,CreditCard
230000198806024992,61,CreditCard
350000198002083206,12,CreditCard
140000195507106618,42,CreditCard
310000197902188044,58,CreditCard
310000200510184604,5,CreditCard
510000198605098765,54,CreditCard
420000196507066726,37,CreditCard
420000200404177035,55,CreditCard
540000197011099059,80,CreditCard
460000196612191286,33,CreditCard
340000195511080200,13,CreditCard
230000199311095953,5,CreditCard
510000199212018810,90,CreditCard
370000195505124284,67,CreditCard
650000198209040386,31,CreditCard
140000195212104033,71,CreditCard
15000019961127403X,6,CreditCard
130000199104188766,69,CreditCard
520000199004173498,27,CreditCard
630000195905126274,18,CreditCard
460000200301229573,38,CreditCard
330000195612045226,47,CreditCard
22000019780815943X,68,CreditCard
340000199401177173,48,CreditCard
210000199911268850,57,CreditCard
440000195501291753,11,CreditCard
500000199909187460,38,CreditCard
210000197711119683,34,CreditCard
330000199712016607,20,CreditCard
520000196701040689,56,CreditCard
540000198512093960,46,CreditCard
370000199909079924,7,CreditCard
460000200407106221,73,CreditCard
320000200611173770,66,CreditCard
640000197301124543,24,CreditCard
520000198610186155,35,CreditCard
450000197705288872,32,CreditCard
37000019700905938X,91,CreditCard
440000199901198636,65,CreditCard
640000197907243280,9,CreditCard
210000199105222364,77,CreditCard
430000198711109907,35,CreditCard
510000196805248116,93,CreditCard
360000198312315158,12,CreditCard
220000195503043955,71,CreditCard
110000196802108068,27,CreditCard
450000195607162660,11,CreditCard
460000197902138509,47,CreditCard
120000198210023387,5,CreditCard
500000195608079142,50,CreditCard
140000198303133239,15,CreditCard
410000195606304965,57,CreditCard
350000196705140757,80,CreditCard
21000019531014773X,12,CreditCard
340000197502289685,76,CreditCard
510000196504131512,87,CreditCard
150000195601257473,75,CreditCard
500000199501318797,10,CreditCard
350000197610271345,40,CreditCard
36000020010827861X,36,CreditCard
310000198301298883,53,CreditCard
530000198506018057,20,CreditCard
310000199103231922,4,CreditCard
350000196008029578,1,CreditCard
340000198704211514,26,CreditCard
520000197406262363,53,CreditCard
330000196002262789,78,CreditCard
350000198207103995,7,CreditCard
530000199312030933,27,CreditCard
370000196709179468,13,CreditCard
520000199602118413,38,CreditCard
530000197111043528,35,CreditCard
460000196906290511,100,CreditCard
330000196911080608,96,CreditCard
330000199705106858,12,CreditCard
230000195305196637,22,CreditCard
110000195604289457,10,CreditCard
360000196110086503,22,CreditCard
14000019880616116X,14,CreditCard
52000020051018374X,81,CreditCard
640000199010204382,44,CreditCard
350000196903157891,53,CreditCard
520000195406263332,65,CreditCard
130000196006202639,84,CreditCard
330000199307214191,56,CreditCard
310000197308249094,11,CreditCard
370000196602171255,58,CreditCard
440000195108134700,31,CreditCard
150000198706151089,57,CreditCard
620000196810109685,46,CreditCard
650000197111235527,87,CreditCard
360000197704272762,42,CreditCard
46000020050307862X,81,CreditCard
630000195108124989,34,CreditCard
36000019830422028X,58,CreditCard
500000196902236916,94,CreditCard
230000197102092263,88,CreditCard
110000195108060098,45,CreditCard
440000195111224010,46,CreditCard
440000199506198177,10,CreditCard
640000195212174822,41,CreditCard
540000196105021389,34,CreditCard
330000196005015441,41,CreditCard
540000197702259402,61,CreditCard
14000019621009186X,85,CreditCard
150000199507033295,62,CreditCard
320000196105272398,41,CreditCard
530000198808172121,17,CreditCard
420000199403137298,63,CreditCard
540000195203132862,83,CreditCard
460000198709197114,42,CreditCard
150000200109121228,89,CreditCard
42000019790725953X,14,CreditCard
520000196508176226,15,CreditCard
52000019600125941X,79,CreditCard
140000195906255768,57,CreditCard
650000199911169870,48,CreditCard
120000197810227426,71,CreditCard
420000198410240758,38,CreditCard
630000200512203455,0,CreditCard
340000195007310791,53,CreditCard
610000197502283182,55,CreditCard
320000197909034568,6,CreditCard
310000198702250581,15,CreditCard
650000195012300195,21,CreditCard
530000200205086793,39,CreditCard
650000195310172857,72,CreditCard
510000199707144050,93,CreditCard
130000197710298376,97,CreditCard
120000195102075362,91,CreditCard
420000195502132339,11,CreditCard
610000198912056657,98,CreditCard
500000195206195052,89,CreditCard
230000197606258271,10,CreditCard
640000196607083479,77,CreditCard
340000200501146433,97,CreditCard
520000198208019260,36,CreditCard
420000195403173573,84,CreditCard
620000199201200604,87,CreditCard
310000196209043897,97,CreditCard
320000198708167449,81,CreditCard
12000019670109595X,69,CreditCard
640000197706136673,68,CreditCard
310000197309301886,69,CreditCard
230000195410092039,43,CreditCard
320000197002110884,67,CreditCard
450000200008063701,98,CreditCard
450000196810131549,58,CreditCard
370000199105023650,67,CreditCard
440000197406173715,81,CreditCard
640000197206169583,0,CreditCard
110000195205069780,92,CreditCard
450000195303024437,13,CreditCard
32000019741105094X,17,CreditCard
520000196201038910,84,CreditCard
650000199612256771,63,CreditCard
330000200610142325,5,CreditCard
430000196112168391,8,CreditCard
320000196402269208,56,CreditCard
220000200509141701,18,CreditCard
330000197210307579,14,CreditCard
320000196410040876,83,CreditCard
330000198208024638,13,CreditCard
650000196809119929,27,CreditCard
450000198903259145,33,CreditCard
330000198307246404,74,CreditCard
450000197710061808,72,CreditCard
230000199902218548,27,CreditCard
520000195805271401,95,CreditCard
320000197612140204,6,CreditCard
450000196901206964,79,CreditCard
360000197201226158,96,CreditCard
620000196606181962,16,CreditCard
330000198602129585,75,CreditCard
460000197607230863,4,CreditCard
310000195909254041,52,CreditCard
420000200002281462,36,CreditCard
460000198012160055,47,CreditCard
460000197005040907,27,CreditCard
440000196009117838,22,CreditCard
110000199704287430,41,CreditCard
330000196607050447,99,CreditCard
530000200101159775,22,CreditCard
430000196206282371,93,CreditCard
320000195608250858,93,CreditCard
320000196001299289,41,CreditCard
540000197103167450,95,CreditCard
360000197009093981,6,CreditCard
420000199809036710,52,CreditCard
640000195006068711,33,CreditCard
140000197001091454,72,CreditCard
360000195406142477,42,CreditCard
120000198203028374,63,CreditCard
340000195012216521,91,CreditCard
43000019911020986X,40,CreditCard
230000196211050981,100,CreditCard
130000200005239105,75,CreditCard
520000196510235707,45,CreditCard
630000198402271916,25,CreditCard
120000195605056040,95,CreditCard
500000197309129372,37,CreditCard
360000196303218904,51,CreditCard
500000199804268598,35,CreditCard
440000198909126309,45,CreditCard
520000198905245730,67,CreditCard
430000196111277545,15,CreditCard
340000199210295222,6,CreditCard
460000195508293659,89,CreditCard
110000197712197786,64,CreditCard
500000200307309868,12,CreditCard
650000195208039689,22,CreditCard
500000197207268654,22,CreditCard
510000197802017851,93,CreditCard
310000197009185991,45,CreditCard
640000200209295977,11,CreditCard
210000200505187778,23,CreditCard
650000196308313889,2,CreditCard
440000199602298434,100,CreditCard
510000195810147665,66,CreditCard
310000199707044810,7,CreditCard
500000199408167728,60,CreditCard
63000019730309848X,67,CreditCard
220000200407087783,97,CreditCard
540000197505068260,80,CreditCard
640000196008053446,28,CreditCard
630000199710236826,67,CreditCard
340000195208133744,42,CreditCard
110000198705174441,9,CreditCard
530000198108142415,11,CreditCard
520000195506251750,91,CreditCard
530000195904283549,24,CreditCard
440000196204054270,58,CreditCard
630000198204113394,44,CreditCard
500000195610245613,23,CreditCard
110000196605050645,48,CreditCard
420000195602043819,10,CreditCard
310000198512300584,69,CreditCard
62000019930805394X,92,CreditCard
370000196410119970,48,CreditCard
220000199106196817,3,CreditCard
110000196601131843,4,CreditCard
230000195207014457,65,CreditCard
110000199207049597,8,CreditCard
500000197705303336,65,CreditCard
140000195207047898,13,CreditCard
610000195006195387,97,CreditCard
460000197012075577,25,CreditCard
420000197704237402,11,CreditCard
430000197111155788,90,CreditCard
350000197210065227,89,CreditCard
330000200510079154,95,CreditCard
350000198605125284,55,CreditCard
54000019840201319X,68,CreditCard
500000195906266173,24,CreditCard
310000197706252811,51,CreditCard
370000199808124765,96,CreditCard
230000200011204850,76,CreditCard
520000199211283200,4,CreditCard
51000019690222620X,64,CreditCard
420000196410186713,1,CreditCard
360000199601253031,74,CreditCard
450000196608270561,9,CreditCard
110000199703151814,57,CreditCard
420000197311103331,45,CreditCard
440000196806018285,15,CreditCard
440000198907078577,69,CreditCard
210000198906184500,9,CreditCard
350000199106271193,88,CreditCard
500000199102016193,78,CreditCard
220000197606181591,80,CreditCard
540000200008208394,98,CreditCard
620000195803304277,36,CreditCard
650000197910071397,18,CreditCard
610000199811131990,43,CreditCard
440000195809174828,46,CreditCard
110000195601249257,31,CreditCard
150000198107136098,34,CreditCard
220000198304150831,44,CreditCard
640000195511151663,59,CreditCard
540000195604173702,78,CreditCard
130000195603091960,44,CreditCard
640000196105099761,95,CreditCard
450000199307159441,19,CreditCard
420000197905238532,26,CreditCard
610000195511163028,33,CreditCard
420000200008195020,12,CreditCard
510000198912148793,72,CreditCard
150000196110135177,38,CreditCard
360000197210121606,100,CreditCard
370000200002057749,10,CreditCard
520000198501122785,9,CreditCard
510000198703177360,62,CreditCard
140000200512263304,80,CreditCard
140000198008029092,1,CreditCard
510000195401173897,35,CreditCard
460000195803290864,83,CreditCard
140000197811260213,60,CreditCard
420000198211015507,85,CreditCard
640000197203319996,67,CreditCard
450000199601282141,69,CreditCard
330000195308149960,14,CreditCard
220000200610218056,51,CreditCard
650000195704291904,94,CreditCard
540000195507268160,73,CreditCard
150000198312289659,30,CreditCard
330000200504043593,87,CreditCard
230000197508037213,79,CreditCard
500000200506153528,10,CreditCard
420000199607194243,19,CreditCard
540000198412222200,71,CreditCard
230000196307168693,77,CreditCard
21000019701231341X,88,CreditCard
430000198805252878,34,CreditCard
220000195005057297,34,CreditCard
64000019861221994X,95,CreditCard
530000197602249221,45,CreditCard
140000197902278443,13,CreditCard
22000019880523702X,29,CreditCard
210000198809054413,9,CreditCard
500000199704033783,6,CreditCard
500000195211028638,0,CreditCard
410000197306306407,81,CreditCard
500000195411103890,81,CreditCard
310000199907251910,8,CreditCard
310000197202165204,19,CreditCard
440000199902181836,4,CreditCard
610000198701186259,21,CreditCard
31000019661108518X,20,CreditCard
140000200609300685,96,CreditCard
15000019791119119X,3,CreditCard
210000199603242325,35,CreditCard
410000196602271179,71,CreditCard
410000200201212468,40,CreditCard
500000195903057413,17,CreditCard
610000195711170556,31,CreditCard
540000199704298412,94,CreditCard
33000019570308364X,52,CreditCard
640000196302259277,88,CreditCard
610000195406231471,24,CreditCard
44000019521027382X,87,CreditCard
310000197304279616,16,CreditCard
130000200605117961,30,CreditCard
520000198410148744,12,CreditCard
500000197106089630,37,CreditCard
210000195405183856,17,CreditCard
610000198903032493,74,CreditCard
330000197812303399,11,CreditCard
130000199503114254,37,CreditCard
640000195506156523,66,CreditCard
450000195910140886,50,CreditCard
61000019831231873X,54,CreditCard
360000196906259932,35,CreditCard
370000199207139048,100,CreditCard
230000198212170431,53,CreditCard
510000197507216436,15,CreditCard
610000195502271692,9,CreditCard
230000196303299290,43,CreditCard
520000196604062616,21,CreditCard
130000200609183077,68,CreditCard
630000199612081568,42,CreditCard
360000200212054974,33,CreditCard
50000020020408079X,92,CreditCard
460000200204152527,73,CreditCard
460000198107109615,73,CreditCard
460000197406181284,45,CreditCard
330000199103181981,12,CreditCard
110000199502162285,33,CreditCard
330000197406249980,31,CreditCard
110000196708026269,26,CreditCard
120000200111128749,74,CreditCard
